replication_id,scenario_id,replication_seed,metric,N_value,S_value,F_value,S_minus_N,F_minus_S,F_minus_N
14,bb1e91a2811da9e7,12637917950436599476,waste_rate,0.03187883458209563,0.0610234646037335,0.0350666923019566,0.02914463002163787,-0.025956772301776898,0.0031878577198609717
15,9c0e7d005f95b886,12631696581790737570,waste_rate,0.0400196506141374,0.07380594235257945,0.044510049803868273,0.033786291738442054,-0.029295892548711178,0.004490399189730876
16,2dde2186f7f297c8,15306973309152035735,waste_rate,0.03206847601347019,0.057685083076118776,0.03522492222803977,0.025616607062648587,-0.022460160848079003,0.0031564462145695846
17,7d27ea5a36015daa,11912966408235049794,waste_rate,0.03391445687511754,0.07004111422118989,0.03961869893402725,0.03612665734607235,-0.030422415287162635,0.005704242058909716
18,450638d687f99e16,13662181571893650717,waste_rate,0.030176705638690366,0.05923750617224633,0.03723381958208064,0.029060800533555965,-0.02200368659016569,0.007057113943390276
19,71dc83c60ef39a61,6716774480996898736,waste_rate,0.03689709081947981,0.07062619590566813,0.04188378527945375,0.033729105086188316,-0.028742410626214375,0.004986694459973941
20,f7d27eeb3e232b43,6074613405453781192,waste_rate,0.03639066856248313,0.06236680582544026,0.03812904087987928,0.02597613726295713,-0.024237764945560986,0.001738372317396146
21,80cac39a6a93e25b,12656529146208048523,waste_rate,0.03277552206004483,0.060132139059432675,0.03514105902389667,0.027356616999387844,-0.024991080035536004,0.00236553696385184
22,cda0457b3f19dc5f,16800882232702200752,waste_rate,0.03144225317137777,0.06120889557641821,0.03850795345632455,0.02976664240504044,-0.02270094212009366,0.007065700284946783
23,99fe83fe7a61efee,5072631503236424711,waste_rate,0.0330294800013754,0.0669276249681931,0.03904969536277302,0.0338981449668177,-0.027877929605420078,0.0060202153613976225
24,4734a950ab8deb19,1658852715428394783,waste_rate,0.03237857723088528,0.06002539288070079,0.03572233627003444,0.027646815649815505,-0.024303056610666347,0.003343759039149158
25,38bb46dac36d9613,6198866614064143415,waste_rate,0.034069233067365416,0.0653458851876643,0.03970214505302271,0.03127665212029888,-0.02564374013464158,0.005632911985657296
26,73ca68e153b90efe,9131912532472506910,waste_rate,0.02919665609039,0.05716840284760866,0.03506280681086451,0.027971746757218658,-0.022105596036744148,0.0058661507204745104
27,486b37266eb85a7d,14506317473859213626,waste_rate,0.030705872830128288,0.05481995965892537,0.03427924828628208,0.02411408682879708,-0.020540711372643287,0.003573375456153792
28,9819f468eaf7f2b2,4003950915694505269,waste_rate,0.03293201255812836,0.06005289590617548,0.036999288857362075,0.027120883348047117,-0.0230536070488134,0.004067276299233716
29,8d1cdabbefbbd0aa,17863264377380044289,waste_rate,0.0377347410245005,0.06711680989633469,0.040548120105318275,0.029382068871834185,-0.02656868979101641,0.002813379080817774
30,a82cff0022fc77c1,1621636798392364146,waste_rate,0.03680411841232392,0.06852506770938796,0.040641293794837045,0.03172094929706404,-0.027883773914550915,0.0038371753825131236
31,5e05e6ad80459dbd,17689598413599291612,waste_rate,0.03827688344912873,0.06741838203161936,0.03901551295729682,0.029141498582490627,-0.02840286907432254,0.0007386295081680885
32,000375070cfaad12,2376777246512708618,waste_rate,0.036663273247808256,0.07069061121284144,0.0418418662884334,0.03402733796503318,-0.02884874492440804,0.005178593040625144
33,4f91a9779584603d,14951634514475873699,waste_rate,0.03650955300418989,0.0654335239389774,0.0383711864918076,0.02892397093478751,-0.0270623374471698,0.0018616334876177115
34,2672cb6c777c2643,3610653751272029061,waste_rate,0.03185167548251584,0.061070747781783986,0.03734765252426153,0.029219072299268144,-0.023723095257522454,0.005495977041745689
35,24f7d9bb2ef8b38d,12487850631638145646,waste_rate,0.03270634566038064,0.06103643727160212,0.03555973994183022,0.028330091611221485,-0.025476697329771904,0.002853394281449581
36,a22de8b4de8c8f1c,9532327372103029650,waste_rate,0.039046778710921735,0.07450799873845633,0.043083483977394234,0.035461220027534594,-0.031424514761062096,0.004036705266472498
37,6c4abba0cf79b5c5,6187122514881054771,waste_rate,0.035552533852257526,0.06567125837689952,0.03828581790607052,0.030118724524641996,-0.027385440470829005,0.0027332840538129913
38,767bb6c753841eeb,8367747889328127822,waste_rate,0.0373693840319869,0.06964504036845777,0.0433466509419809,0.03227565633647087,-0.026298389426476866,0.005977266909994006
39,9496564120f8cca4,15556817399082204522,waste_rate,0.03092299998857245,0.0598963693271528,0.03436358604166741,0.028973369338580354,-0.025532783285485396,0.003440586053094958
40,47355d2f5acddb5c,294372319131704418,waste_rate,0.032086583755026515,0.060017211063421894,0.03768008571908113,0.027930627308395378,-0.022337125344340764,0.005593501964054615
41,0a262dd283dd6a86,17876885766379431511,waste_rate,0.0356253193549079,0.06822472276600552,0.04021804640434353,0.03259940341109763,-0.028006676361661993,0.004592727049435634
42,4948a5aebd04a486,13785562148271653969,waste_rate,0.033418742083927276,0.06292093174057055,0.03565858462857088,0.029502189656643273,-0.027262347111999666,0.002239842544643607
43,0d83242ca36457c7,4582545520891971192,waste_rate,0.030985582659538966,0.06056031742982785,0.0344715120804479,0.029574734770288883,-0.026088805349379948,0.003485929420908935
44,a4fc26c8e01425fb,9850046477131511879,waste_rate,0.032474981837372775,0.06344810022434762,0.03633401346854524,0.030973118386974842,-0.027114086755802375,0.0038590316311724673
45,6e8d15f0b614b0c5,16007094931600741254,waste_rate,0.029145069195264765,0.05158294099346881,0.03819099261068106,0.022437871798204043,-0.013391948382787747,0.009045923415416296
46,ea37cea8525453e6,16040166067369569384,waste_rate,0.036900976442478604,0.07071530724630222,0.04168336143719124,0.033814330803823615,-0.029031945809110983,0.004782384994712632
47,8eb8f53b49b3d3e7,16542339274826354254,waste_rate,0.03343340715210746,0.06332872869668676,0.036943431277814645,0.029895321544579308,-0.02638529741887212,0.003510024125707188
48,cf3fb765a545fb7c,6737943943382100808,waste_rate,0.035111836738425856,0.06266678773596049,0.03869890833121047,0.027554950997534633,-0.023967879404750016,0.0035870715927846172
49,385531f86e4df34d,15744598175717554616,waste_rate,0.03690516288094401,0.06932290851450959,0.04075762845960484,0.03241774563356558,-0.028565280054904753,0.003852465578660827
0,efd2bbd58a32d830,18154560826472160181,retail_order_bullwhip,3.1262494911553738,3.410782884122369,2.977654911639318,0.2845333929669951,-0.4331279724830508,-0.1485945795160557
1,740d1ec64c17c25c,583025130916150325,retail_order_bullwhip,3.2685044303182385,3.4097493137135375,3.001906569121057,0.14124488339529906,-0.4078427445924806,-0.26659786119718154
2,48fc424fdbbeabe8,16398357247701834850,retail_order_bullwhip,3.389705229762636,3.574519719606287,3.0004097147813362,0.1848144898436508,-0.5741100048249508,-0.3892955149813
3,c8bc873cc8d7bf0e,2269397296339111156,retail_order_bullwhip,2.9550162017914006,3.1855628080480543,2.8036631670300936,0.23054660625665369,-0.3818996410179607,-0.15135303476130701
4,b53d2acad52e10d3,2106283565805583909,retail_order_bullwhip,3.2232934073372403,3.398931412202517,3.0154791286932894,0.1756380048652768,-0.3834522835092278,-0.20781427864395097
5,4c823eaf9c10986c,9494189234043139157,retail_order_bullwhip,3.3235879716165933,3.5033443889723626,2.878981295755178,0.1797564173557693,-0.6243630932171844,-0.4446066758614151
6,0c4d8050dcfc561f,9175908689249402304,retail_order_bullwhip,3.226871892685447,3.3510386155317584,3.0965231232918784,0.12416672284631147,-0.25451549223988,-0.13034876939356854
7,b93c197452127748,18411039279325525482,retail_order_bullwhip,3.2067915472820196,3.411630894216846,2.936886126610025,0.20483934693482642,-0.47474476760682105,-0.26990542067199463
8,f3d93e6376548f3d,17412653627742288767,retail_order_bullwhip,2.916667693103964,3.070193225010403,2.823449159841565,0.15352553190643903,-0.24674406516883796,-0.09321853326239893
9,1b6a15e02bc2dfd9,14360288428696390321,retail_order_bullwhip,3.042118074430447,3.033454743092407,2.7710684111013433,-0.008663331338039981,-0.26238633199106376,-0.27104966332910374
